,Country Name,Country Border Name,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017
516,Uganda,Tanzania,3.781,3.666,3.34899997711182
517,United States,Canada,7.427,7.404,7.31599998474121
518,United States,Mexico,7.187,6.778,6.57800006866455
519,Uruguay,Argentina,6.574,6.65,6.59899997711182
520,Uruguay,Brazil,6.983,6.952000000000001,6.63500022888184
521,Uzbekistan,Afghanistan,3.575,3.36,3.79399991035461
522,Uzbekistan,Kazakhstan,5.855,5.919,5.8189997673034695
523,Uzbekistan,Kyrgyzstan,5.2860000000000005,5.185,5.0040001869201705
524,Uzbekistan,Tajikistan,4.7860000000000005,4.996,5.04099988937378
525,Uzbekistan,Turkmenistan,5.547999999999999,5.658,5.82200002670288
526,Venezuela,Brazil,6.983,6.952000000000001,6.63500022888184
527,Venezuela,Colombia,6.477,6.481,6.35699987411499
528,Venezuela,Ghana,4.633,4.276,4.11999988555908
529,Vietnam,Cambodia,3.819,3.907,4.1680002212524405
530,Vietnam,China,5.14,5.245,5.2729997634887695
531,Vietnam,Laos,4.876,4.876,
532,Yemen,Oman,6.853,,
533,Yemen,Saudi Arabia,6.4110000000000005,6.379,6.343999862670901
534,South Africa,Botswana,4.332,3.974,3.7660000324249294
535,South Africa,Lesotho,4.898,,3.80800008773804
536,South Africa,Mozambique,4.971,,4.5500001907348615
537,South Africa,Namibia,,4.574,4.57399988174438
538,South Africa,Swaziland,4.867,,
539,South Africa,Zimbabwe,4.61,4.1930000000000005,3.875
540,Zambia,Angola,4.033,3.866,3.79500007629395
541,Zambia,Botswana,4.332,3.974,3.7660000324249294
542,Zambia,Togo,2.839,3.303,3.4949998855590803
543,Zambia,Malawi,4.292,4.1560000000000015,3.97000002861023
544,Zambia,Mozambique,4.971,,4.5500001907348615
545,Zambia,Namibia,,4.574,4.57399988174438
546,Zambia,Tanzania,3.781,3.666,3.34899997711182
547,Zambia,Zimbabwe,4.61,4.1930000000000005,3.875
548,Zimbabwe,Botswana,4.332,3.974,3.7660000324249294
549,Zimbabwe,Mozambique,4.971,,4.5500001907348615
550,Zimbabwe,South Africa,4.642,4.459,4.8289999961853
551,Zimbabwe,Zambia,5.129,4.795,4.513999938964839
